親見出し（日本語）	同綴見出し	親見出し（PMCP）	子見出し（日本語）	子見出し（PMCP）	品詞	語釈	品詞欄の直後に改行を強制	
ナイペ		NAIPE			動詞	精巧である、緻密である	
ナウキㇰ		NAUKIK			動詞	その場しのぎである、間に合わせである	
ナウニリ		NAUNILI			名詞	ナウニリ【刺】（都市名）	
ナシェ		naxe			名詞	針	
ナシェン		NAXEN			名詞	金持ち、富豪	
ナスィルクㇷ゚		nacilukup			名詞	売り文句、キャッチコピー	
ナセ		nace			動詞	謝る、謝罪する	
ナㇳ		nat			間投詞	まだ	
ナナラ		nanala			名詞	ナナラ【静水】（行政区画名）	
ナマナ		NAMANA			名詞	死神	
ナラウ		nalau			名詞	夏	
ナル		nalu			名詞	理由、原因	
ニサ		nica			名詞	誤り、嘘、間違い	
ニㇲニネㇲネ		NICNINECNE			名詞	重量	
ニㇲヌㇲ		nicnuc			名詞	窓	
ニㇷ゚	*	nip			動詞	消える、なくなる	
ニㇷ゚	*	nip			前置助動詞	～ない	
ニㇷ゚	*	nip			間投詞	いいえ	
ニㇷ゚	*	nip	ニピㇳ	nipit	他動詞	～を拒む、～を無視する、～をなくす、～を取り除く、～を捨てる	
ニㇷ゚	*	nip	ニㇷ゚レティ	nipleti	数詞	0個の	
ニㇷ゚ ノレ		NIP-NOLE			前置助動詞	すぐに	
ニヤスィセン		NIJACICEN			形容詞	逆向きの	
ニン		nin			動詞	安全である	
ニンセㇳカイㇰ		nincetkaik			名詞	紙机戦	
ヌウォㇳ		nuwot	ヌウォティㇳ	NUWOTIT	他動詞	～を壊す	
ヌカンピトレ		NUKANPITOLE			名詞	下層部、末端、下っ端	
ヌキㇽ		nukil			名詞	心、心臓、感情、精神、魂	
ヌキㇽパンカ		nukilpanka			動詞	幸せである	
ヌシェㇷ゚	*	nuxep			形容詞	小さい	
ヌシェㇷ゚	*	nuxep			名詞	小島【小島】（地名）	
ヌシェㇷ゚	*	nuxep	ヌシェㇷ゚ ヌシェㇷ゚	NUXEP-NUXEP	形容詞	微小な、わずかな	
ヌシェㇷ゚ラタ		nuxeplata			名詞	（ゲームの）子	
ヌシャレ		NUXALE			動詞	似ていない、大きく異なる	
ヌスィㇰ		nucik			動詞	難しい	
ヌスィラ		NUCILA			動詞	偽物である、本物ではない	
ヌスㇲ		nucuc			動詞	位置が低い、地位が低い	
ヌススィタㇽ		NUCUCITAL			名詞	端	
ヌスネㇳ		nucunet			動詞	弱い	
ヌセティㇳ		NUCETIT			他動詞	～を減らす	
ヌセㇳ		nucet			前置助動詞	ほとんど～しない	
ヌディンドゥン		nudindun			動詞	整っている	
ヌデレㇲ		NUDELEC			動詞	不要である	
ヌトㇰ		nutok			名詞	部屋、マス	
ヌニイェ		NUNIJE			名詞	銀	
ヌパㇰ		nupak			動詞	独立する、隷属しない	
ヌパテ		NUPATE			間投詞	驚くべきことに	
ヌパン	*	nupan			動詞	異なる	
ヌパン	*	nupan	ヌパンレティ	nupanleti	形容詞	複数だ	
ヌパンカ	*	nupanka			動詞	悪い	
ヌパンカ	*	nupanka	ヌパンカレティ	nupankaleti	形容詞	悪い	
ヌプㇲ		nupuc			動詞	枯れる、しおれる、しぼむ	
ヌベポㇰ レティ ダㇳ		nubepok leti dat			名詞	同色でない役	
ヌポㇽト		nupolto	ヌポㇽトレティ	NUPOLTOLETI	形容詞	閉じた	
ヌママ		NUMAMA			名詞	ヌママ【大守処】（都市名）	
ヌメレ		NUMELE			動詞	遠い	
ヌモㇽカ		numolka	ヌモㇽカイㇳ	numolkait	他動詞	負ける	
ヌㇽ		nul			名詞	魂	
ヌロウィㇰ		nulowik			動詞	遠い	
ヌロㇳ		nulot			動詞	賢い、賢明な	
ヌロㇷ゚		NULOP			動詞	北である	
ヌワオ		nuwao			名詞	墨汁、墨液	
ヌワシェㇲ		nuwaxec			動詞	(〖e nuwaxec jo [1]〗の形で)〖[1]〗と同一だ、〖[1]〗と同じだ	
ヌワタケスィㇳ		NUWATAKECIT			動詞	引き算する	
ヌワピユ		nuwapiju			名詞	ヌワピユ、ヌヮピュ【水力】（人名）	
ヌン		NUN			動詞	質問する	
ネウィㇲ		NEWIC			名詞	屋根	
ネオ		neo			名詞	お酒、酒	
ネキヤニン		NEKIJANIN			名詞	手紙	
ネクワイ		nekuwai			名詞	（セッカイクの）連将	
ネシユ		nexiju			名詞	ネッシュ【六裁】（ゲーム名）	
ネㇲテㇽ		nectel			名詞	細い	
ネㇲトゥン		nectun			動詞	さわる、接触する	
ネㇲニㇷ゚		NECNIP			名詞	雪	
ネㇲラナㇲ		neclanac			名詞	種類	
ネタウㇰ		NETAUK			名詞	奇数	
ネタレ		NETALE			名詞	郵便、手紙	
ネディ		NEDI			名詞	袖	
ネテラㇽ		NETELAL			名詞	（寸法の）縦	
ネニ		neni			名詞	地面	
ネヌㇽ	*	nenul	ネヌㇽ キイェ	nenul kije	動詞	（車や乗り物から）降りる	
ネヌㇽ	*	nenul	ネヌㇽ トゥデ	nenul tude	動詞	（車や乗り物に）乗る	
ネヌレㇽ		nenulel			名詞	乗り物	
ネネスィㇳ		NENECIT			他動詞	～を送信する	
ネバイㇳ		nebait			名詞	ヌバイㇳ、ネバイㇳ【猫膠】（人名）	
ネペㇲタライテン		NEPECTALAITEN			形容詞	不利な	
ネユㇲ		NEJUC			動詞	集まる	
ネルㇷ゚		NELUP			名詞	机	
ノ		NO			文接続詞	～しながら	
ノイェㇷ゚		NOJEP			名詞	壁	
ノカ		noka	ノカレティ	nokaleti	数詞	5個の	
ノㇲティ		nocti			名詞	特徴	
ノㇲトゥ		noctu			動詞	遅れる	
ノポン		NOPON			名詞	暴風雨	
ノレ		nole			名詞	時、場合、（数詞を用いて、〖[1] nole〗 の形で）〖[1]〗回	